no,atlas_index,video_id,title,duration_min,duration_band,series,topics,cat_signal_score,book_part_candidate,book_conversion,url
1,1,k1m_EewHQ80,💩똥싸고 나면 우다다 뛰어다니는 고양이 특징,22.53,deep-dive,단발/일반,"CAT-SIGNAL 행동 신호, LITTER-LOG 배변/화장실",2,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=k1m_EewHQ80
2,2,G6tWUwAGnkU,우리 고양이가 편안하다는 증거,4.78,short-form 일반영상,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=G6tWUwAGnkU
3,5,VU8-78KuHSg,"미야옹철학관 OPEN 고양이 이름, 운명까지 바꿉니다",14.05,deep-dive,미야옹철학관,"LIFE-STORY 서사/상담, CAT-SIGNAL 행동 신호",1,Part 1. 웃다가 배우는 고양이 생활,웃긴 제목의 긴장을 짧은 생활 서사로 재배치,https://www.youtube.com/watch?v=VU8-78KuHSg
4,10,LBCfK8Ahf1c,고양이가 나를 얼마나 좋아하는지 확인하는 고양이 인사법,5.2,standard,단발/일반,CAT-SIGNAL 행동 신호,2,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=LBCfK8Ahf1c
5,11,NW96CmZeSzI,고양이는 보호자를 얼마나 오래 기억할까?,14.77,deep-dive,단발/일반,"RELATIONSHIP 관계/합사, CAT-SIGNAL 행동 신호",1,Part 5. 같이 산다는 것의 거리,사람의 욕심과 고양이의 속도 대비 -> 선택권 체크,https://www.youtube.com/watch?v=NW96CmZeSzI
6,12,7E2PVTWYMIg,이 테스트 해보면 고양이 성격 바로 나옴,6.72,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=7E2PVTWYMIg
7,16,5AJStJPD7P0,고양이가 싸울 때 절대 하면 안되는 행동,11.23,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=5AJStJPD7P0
8,26,x7582LdLTzQ,'이 장소'를 잃으면 고양이의 스트레스가 시작됩니다,7.73,standard,단발/일반,CAT-SIGNAL 행동 신호,2,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=x7582LdLTzQ
9,29,mdwvt0qPIQE,연프출신 수의사가 말아주는 연애상담💘 회사상사에게 고백 할말?/고양이를 반대하는 예랑이/애인있는 사람을 좋아해요/불법도박 남친 사연,30.3,long-talk,단발/일반,"HEALTH-CHECK 건강 관찰, LIFE-STORY 서사/상담, CAT-SIGNAL 행동 신호",1,Part 4. 몸이 보내는 작은 알림,증상 단정 없이 관찰 기록 -> 병원 상담 기준 -> 이야기 장면,https://www.youtube.com/watch?v=mdwvt0qPIQE
10,41,nI_rZFGHYrg,[4hz] 고양이랑 꿀잠자는 주파수😴 효과보장! 매일 5분이면 고양이 귀가 자라난다,6.12,standard,4hz,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=nI_rZFGHYrg
11,42,TloIxKSFlyI,몇 명이랑 살아야 고양이는 만족할까? 1인가구 vs 다인가구ㅣ미야옹서베이,10.97,standard,미야옹서베이,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=TloIxKSFlyI
12,43,xJy9e6YAKn8,"미야옹철 2세 공개, 고양이와 아침, 요즘 하는 명상 소개, 그릭요거트 추천, 휴모님 없이 유튜브 촬영하는 vlog",11.53,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=xJy9e6YAKn8
13,45,RYsuCT-QOUI,물 닿기 싫어 발가락 쫙 🐾그러고도 니가 바다고양이니?ㅣ미야옹톡 씨캣,10.28,standard,미야옹톡 씨캣,"CAT-SIGNAL 행동 신호, CARE-ROUTINE 생활 돌봄",2,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=RYsuCT-QOUI
14,58,SHWNdSofKp0,고양이가 친구를 사귀게 되면 '이 시그널'이 있습니다,5.28,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=SHWNdSofKp0
15,63,Y9Al5FfyWIQ,고양이 루틴에 집사가 종속되면 생기는 심각한 문제ㅣ미야옹서베이,8.12,standard,미야옹서베이,"CAT-SIGNAL 행동 신호, RELATIONSHIP 관계/합사",1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=Y9Al5FfyWIQ
16,64,ljU8fX9rBx4,미야옹철을 은퇴시킬 초등학생의 고양이 비법서📖,7.47,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=ljU8fX9rBx4
17,67,PtJuBg2SiYI,SUB) 눈떠보니 집사가 유승호...? 그 남자의 엄청난 (집)사생활ㅣ고양식탁 유승호 편,29.8,long-talk,고양식탁,"CAT-SIGNAL 행동 신호, RELATIONSHIP 관계/합사",1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=PtJuBg2SiYI
18,68,CIvbmJoZhOQ,귀가 찢어지고 발톱이 뽑혔다...앗 실수! 초보집사의 웃픈 오해😹,6.92,standard,단발/일반,"CAT-SIGNAL 행동 신호, HEALTH-CHECK 건강 관찰, RELATIONSHIP 관계/합사",1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=CIvbmJoZhOQ
19,69,JQXZGY9L8vg,빗질 좋아하는 고양이로 만드는 비법💈미야옹실 영업중💈,7.95,standard,단발/일반,"CAT-SIGNAL 행동 신호, CARE-ROUTINE 생활 돌봄",2,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=JQXZGY9L8vg
20,72,_sxrpU0x4g8,"이 행동, ‘놀이’가 아닙니다! 고양이 사이가 나쁘다는 증거🚨",6.57,standard,단발/일반,"CAT-SIGNAL 행동 신호, CARE-ROUTINE 생활 돌봄",1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=_sxrpU0x4g8
21,74,VUIsWJLVgpE,"벽짚기 챌린지, 간식 지능테스트…안 해본 집사 없지?(귀엽긴 함)",18.95,deep-dive,단발/일반,"CAT-SIGNAL 행동 신호, CARE-ROUTINE 생활 돌봄, RELATIONSHIP 관계/합사",1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=VUIsWJLVgpE
22,77,PUzgVTytfk0,고양이 걸그룹 불화설💥춘봉첨지와 칠복이의 미래는?ㅣ미야옹철의 가정방문 언더월드 편,15.55,deep-dive,미야옹철의 가정방문 언더월드 편,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=PUzgVTytfk0
23,83,k2QBLCAquzc,동그란 까만 눈이 귀여우세요? ㄷㄷㄷ안키워 본 사람은 모르는 고양이에 대한 착각들,6.62,standard,단발/일반,CAT-SIGNAL 행동 신호,2,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=k2QBLCAquzc
24,84,zFLXgnujWhY,SUB) 미야옹철한테 한 수 배우고 간 후배고양이 미야오,18.02,deep-dive,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=zFLXgnujWhY
25,86,0suAqmGVH9k,조심하세요! 수의사가 알려주는 고양이 귀 청소👂,5.83,standard,단발/일반,"HEALTH-CHECK 건강 관찰, CAT-SIGNAL 행동 신호",1,Part 4. 몸이 보내는 작은 알림,증상 단정 없이 관찰 기록 -> 병원 상담 기준 -> 이야기 장면,https://www.youtube.com/watch?v=0suAqmGVH9k
26,88,KbY-iAaqV2U,이렇게 하면 안 돼요! 수의사의 고양이 눈곱 관리법,5.45,standard,단발/일반,"HEALTH-CHECK 건강 관찰, CAT-SIGNAL 행동 신호",1,Part 4. 몸이 보내는 작은 알림,증상 단정 없이 관찰 기록 -> 병원 상담 기준 -> 이야기 장면,https://www.youtube.com/watch?v=KbY-iAaqV2U
27,95,a1AKM2hI9Is,고양이는 왜 네모난 곳을 좋아할까?,5.82,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=a1AKM2hI9Is
28,99,oXPi5gL478k,20분 순삭! 코숏을 키우고 있다면 꼭 알아야 할 충격적인 사실,24.55,deep-dive,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=oXPi5gL478k
29,106,NS3gXEIAemk,고양이는 만지는 걸 싫어한다? 집사 2천명이 답한 의외의 결과 | 미야옹서베이,10.73,standard,단발/일반,"CAT-SIGNAL 행동 신호, RELATIONSHIP 관계/합사",2,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=NS3gXEIAemk
30,107,KGJv3w3PvsM,챗GPT의 충격적인 고양이 행동분석 결과,7.92,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=KGJv3w3PvsM
31,113,2AnC2B8CJwg,하악질도 옮을 수 있나요?🙀하악질 전염설!,10.03,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=2AnC2B8CJwg
32,115,kIoTejUGyUo,고양이가 우다다를 하는 놀라운 이유,6.97,standard,단발/일반,CAT-SIGNAL 행동 신호,2,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=kIoTejUGyUo
33,121,x4m8hnK4mIw,악귀야 물러가라! 간헐적개냥이 환타콜라 퇴마 통역,9.3,standard,단발/일반,"CAT-SIGNAL 행동 신호, CARE-ROUTINE 생활 돌봄",1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=x4m8hnK4mIw
34,123,rFRaI3lyRvE,고양이 쓰다듬다가 물리는 이유(핥다가 깨무는 이유),7.93,standard,단발/일반,"CAT-SIGNAL 행동 신호, CARE-ROUTINE 생활 돌봄",1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=rFRaI3lyRvE
35,128,8gm1NKpNVPk,이 고양이들이 인터넷을 터뜨린 이유🔥ㅣ밈야옹철의 짤밈분석,8.03,standard,밈야옹철의 짤밈분석,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=8gm1NKpNVPk
36,133,G3OgUmv8Zmk,돈이 2배 이상 들어도 고양이 한 마리는 싫은 이유 | 미야옹서베이,10.62,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=G3OgUmv8Zmk
37,143,AlupTkiLCA0,나도 모르게 고양이를 불행하게 만드는 행동,7.98,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=AlupTkiLCA0
38,146,PEXQCtSbONY,생강은 사오지 말고 오징어는 사오라는 고양이ㅣ밈야옹철의 짤밈분석,8.78,standard,밈야옹철의 짤밈분석,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=PEXQCtSbONY
39,149,yZnHUjk-GWY,고양이 키우는 사람들의 소름돋는 공통점 | 미야옹서베이,10.17,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=yZnHUjk-GWY
40,150,My6ybvVAiVk,지난 6년간 미야옹철의 냥냥펀치에게 보내주신 사랑…,10.08,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=My6ybvVAiVk
41,152,81j05uHEhoU,꾹꾹이로 사람 차별하는 고양이..왜 나한텐 안해주는데!!,12.28,deep-dive,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=81j05uHEhoU
42,153,a6y6qwRwBAE,우리집 고양이는 나를 좋아할까?,6.07,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=a6y6qwRwBAE
43,161,KKApQVZnFxU,(충격) 수의사 속터지는 릴스 고양이의 진실ㅣ밈야옹철의 짤밈분석,7.28,standard,밈야옹철의 짤밈분석,"HEALTH-CHECK 건강 관찰, CAT-SIGNAL 행동 신호",1,Part 4. 몸이 보내는 작은 알림,증상 단정 없이 관찰 기록 -> 병원 상담 기준 -> 이야기 장면,https://www.youtube.com/watch?v=KKApQVZnFxU
44,166,oO38sHvNDrg,눈떠보니 집사가 수의사...? 묘생역전 길출신 고양이의 사연,8.23,standard,단발/일반,"HEALTH-CHECK 건강 관찰, CAT-SIGNAL 행동 신호, RELATIONSHIP 관계/합사, LIFE-STORY 서사/상담",1,Part 4. 몸이 보내는 작은 알림,증상 단정 없이 관찰 기록 -> 병원 상담 기준 -> 이야기 장면,https://www.youtube.com/watch?v=oO38sHvNDrg
45,169,tW0sbcqU_cs,고양이 키우는 사람은 강아지 싫어하나요?,6.28,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=tW0sbcqU_cs
46,170,8wzqoO9IWf8,극악의 상황! 미야옹철의 선택은?,6.37,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=8wzqoO9IWf8
47,173,4XDK6azZANE,귀여운걸 보면 깨물어주고 싶고 화가 나는 과학적인 이유,5.3,standard,단발/일반,"CAT-SIGNAL 행동 신호, CARE-ROUTINE 생활 돌봄",1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=4XDK6azZANE
48,175,yz-EaGvRS1Q,간택하는 고양이는 관상이 따로 있다? 고양이 관상가 미야옹철,8.37,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=yz-EaGvRS1Q
49,182,6LxHOcvSsAI,고양이가 “이 행동”을 한다면 동물병원 가셔야 합니다,10.37,standard,단발/일반,"CAT-SIGNAL 행동 신호, CARE-ROUTINE 생활 돌봄, HEALTH-CHECK 건강 관찰",1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=6LxHOcvSsAI
50,183,5CiVhHxM3_4,"고양이의, 고양이에 의한, 고양이를 위한 미야옹철의 하루",7.33,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=5CiVhHxM3_4
51,185,nOKOkOBaUS4,충격! 고양이가 자는 위치의 의미 | 미야옹서베이,8.62,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=nOKOkOBaUS4
52,192,0GHFLZ7OqrA,레전드 아깽이들의 비밀ㅣ밈야옹철의 짤밈분석,6.72,standard,밈야옹철의 짤밈분석,"LIFE-STORY 서사/상담, CAT-SIGNAL 행동 신호",1,Part 1. 웃다가 배우는 고양이 생활,웃긴 제목의 긴장을 짧은 생활 서사로 재배치,https://www.youtube.com/watch?v=0GHFLZ7OqrA
53,193,XgTbOIR4UJA,"SUB) 저는 고양이를 위해 ""이걸"" 매일할 수 있어요ㅣ미야옹철의 가정방문 스텔라장 편",13.47,deep-dive,미야옹철의 가정방문 스텔라장 편,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=XgTbOIR4UJA
54,197,pU_AIbLO9C0,고양이 안 키우는 사람들의 솔직한 이야기 | 미야옹서베이,6.78,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=pU_AIbLO9C0
55,201,VV-bv3tz3Cs,인데 고양이 없는 사람도 좋아하는 것,1.58,short-form 일반영상,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=VV-bv3tz3Cs
56,206,as6QgH7b_-I,SUB) 전국 고양이 집사들은 이 12살 소년을 본받아야 합니다ㅣ미야옹철의 가정방문 오레오래치즈 편,10.88,standard,미야옹철의 가정방문 오레오래치즈 편,"CAT-SIGNAL 행동 신호, RELATIONSHIP 관계/합사",1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=as6QgH7b_-I
57,212,5B3olseTKu8,"집사는 몰랐던, 고양이가 싫어하는 의외의 소리 TOP 6",8.15,standard,단발/일반,"CAT-SIGNAL 행동 신호, RELATIONSHIP 관계/합사",1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=5B3olseTKu8
58,222,YkYwJ9ww0-I,귀 안들리는 보호자를 위해 고양이가 선택한 방법ㅣ밈야옹철의 짤밈분석,6.7,standard,밈야옹철의 짤밈분석,"CAT-SIGNAL 행동 신호, RELATIONSHIP 관계/합사",2,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=YkYwJ9ww0-I
59,225,lStn8zvbJfY,(감동주의) 서로에게 구원이 되어준 냥줍 이야기ㅣ미야옹철의 가정방문 뚜리뚜바랑 편,11.4,standard,미야옹철의 가정방문 뚜리뚜바랑 편,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=lStn8zvbJfY
60,227,ls2_hbBwzNY,큰언니만 싫어하는 고양이의 진실…보름이 언어통역!,10.37,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=ls2_hbBwzNY
61,237,z886hW6vNnw,sub) 임보냥이 오면 첫째냥은 무조건 스트레스 받을까?ㅣ미야옹철의 가정방문 쫀떡이 편,12.42,deep-dive,미야옹철의 가정방문 쫀떡이 편,CAT-SIGNAL 행동 신호,3,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=z886hW6vNnw
62,239,kuoM0BUiM_M,고양이가 죽기 전에 보이는 의외의 8가지 행동,13.33,deep-dive,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=kuoM0BUiM_M
63,247,pjz4ycfF_zk,“이걸” 한다면 수속성 고양이 확정! (feat. 미야옹철 수의사),1.43,short-form 일반영상,단발/일반,"HEALTH-CHECK 건강 관찰, CAT-SIGNAL 행동 신호",1,Part 4. 몸이 보내는 작은 알림,증상 단정 없이 관찰 기록 -> 병원 상담 기준 -> 이야기 장면,https://www.youtube.com/watch?v=pjz4ycfF_zk
64,248,KisGxxtIk6I,눈만 핥는 이상한 고양이 😂 😂,1.82,short-form 일반영상,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=KisGxxtIk6I
65,253,pMUYSKL3PcE,고양이는 단맛 못느낀다는데 왜 이렇게 수박을 좋아할까🍉,14.63,deep-dive,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=pMUYSKL3PcE
66,254,zqE_o46y8y0,혹시 코로나도 경력직 인정되나요? 미야옹철 재확진 격리 vlog,7.25,standard,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=zqE_o46y8y0
67,263,BsdfUZK-Loo,애교쟁이 호섭처남이 침대 밑에서 안 나오게 된 사연은? 미야옹철의 솔루션 출동!,8.1,standard,단발/일반,"CAT-SIGNAL 행동 신호, LIFE-STORY 서사/상담",1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=BsdfUZK-Loo
68,268,olaimpqWS6s,고양이 이물섭취시 생사를 가르는 보호자의 행동 4가지!,10.17,standard,단발/일반,"RELATIONSHIP 관계/합사, CAT-SIGNAL 행동 신호, CARE-ROUTINE 생활 돌봄",1,Part 5. 같이 산다는 것의 거리,사람의 욕심과 고양이의 속도 대비 -> 선택권 체크,https://www.youtube.com/watch?v=olaimpqWS6s
69,279,Tl2oC13DgK8,놀랍습니다! 돌덩이가 고양이 모래로 변하는 과정! 국내최초 블랜딩 모래 제작공정 full공개 🪨🔨(feat.갈취왕 미야옹철),9.28,standard,단발/일반,"LITTER-LOG 배변/화장실, CAT-SIGNAL 행동 신호",1,Part 4. 몸이 보내는 작은 알림,증상 단정 없이 관찰 기록 -> 병원 상담 기준 -> 이야기 장면,https://www.youtube.com/watch?v=Tl2oC13DgK8
70,283,CcsOW6UXDdM,sub) 눈나! 전화 좀 받아바! 한국말하는 고양이 호섭이 통역,13.43,deep-dive,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=CcsOW6UXDdM
71,286,nIN29SLfC6I,고양이가 꾹꾹이 하는데 🌶가…괜찮나요?,12.17,deep-dive,단발/일반,CAT-SIGNAL 행동 신호,1,Part 3. 마음의 속도를 맞추는 일,행동 장면 -> 감정/환경 번역 -> 30초 체크,https://www.youtube.com/watch?v=nIN29SLfC6I
